City,Organization Name,Grant Type,Grant Sector,Grant Subsector,Payment Amount
Mission,Fraser Valley Bald Eagle Festival (FVBEF),Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",3000
Mission,Mission Folk Music Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",65000
Nanaimo,A Cappella Plus Choral Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,2800
Nanaimo,British Columbia Boys Choir,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,10000
Nanaimo,Loyal Nanaimo Bathtub Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",28000
Nanaimo,Nanaimo & District Track and Field Club,Community Gaming Grant,Sport,Sports for Youth,5600
Nanaimo,Nanaimo and District Lacrosse Association,Community Gaming Grant,Sport,Sports for Youth,30640
Nanaimo,Nanaimo Art Gallery Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",98000
Nanaimo,Nanaimo Canadian Amateur Football Association,Community Gaming Grant,Sport,Sports for Youth,17500
Nanaimo,Nanaimo Conservatory of Music,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,56000
Nanaimo,Nanaimo Rowing Club,Community Gaming Grant,Sport,Sports for Youth,16500
Nanaimo,Nanaimo Swim Club,Community Gaming Grant,Sport,Sports for Youth,35500
Nanaimo,Vancouver Island Exhibition Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",48000
Nanaimo,Vancouver Island Red Raiders Football Society,Community Gaming Grant,Sport,Sports - Adult,15000
Nanaimo,Vancouver Island Symphony,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,80000
Nanoose Bay,Federation of British Columbia Writers,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,18500
Nelson,Capitol Theatre Restoration Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,25200
Nelson,Glacier Gymnastics Club,Community Gaming Grant,Sport,Sports for Youth,50000
Nelson,Kootenay Literary Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,8000
Nelson,Nelson and District Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15000
Nelson,Nelson Fine Arts Centre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15100
Nelson,Nelson History Theatre Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,19500
Nelson,Nelson Neptune Swim Club,Community Gaming Grant,Sport,Sports for Youth,9500
Nelson,Nelson Soccer Association,Community Gaming Grant,Sport,Sports for Youth,55000
Nelson,West Kootenay Regional Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15200
New Westminster,Arts Council of New Westminster,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,30450
New Westminster,Hyack Swim Club,Community Gaming Grant,Sport,Sports for Youth,76000
New Westminster,Kiwanis Fraser Valley Music Festival Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,20500
New Westminster,Patrick Street Productions Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,25500
North Vancouver,British Columbia Photography and Media Arts Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",54000
North Vancouver,Deep Cove Rowing Club,Community Gaming Grant,Sport,Sports for Youth,20000
North Vancouver,Gordon Sturtridge League Football Association,Community Gaming Grant,Sport,Sports for Youth,30000
North Vancouver,Lynn Valley Black Bear Band Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,7000
North Vancouver,North Shore Celtic Ensemble,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,15000
North Vancouver,North Shore Chorus Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
